glyph   name
杨      Unknown character in range CJK Unified Ideographs
枝      CJK character Nelson 2211
柱      CJK character Nelson 2236
株      CJK character Nelson 2257
栽      CJK character Nelson  781
桂      CJK character Nelson 2253
桜      CJK character Nelson 2256
條      CJK character Nelson  492
梦      Unknown character in range CJK Unified Ideographs
橋      CJK character Nelson 2378
歐      CJK character Nelson 2423
死      CJK character Nelson 2439
殿      CJK character Nelson  242
母      CJK character Nelson 2466
比      CJK character Nelson 2470
沅      Unknown character in range CJK Unified Ideographs
沒      Unknown character in range CJK Unified Ideographs
沧      Unknown character in range CJK Unified Ideographs
治      CJK character Nelson 2528
泉      CJK character Nelson 3099
波      CJK character Nelson 2529
洋      CJK character Nelson 2550
浦      CJK character Nelson 2571
浪      CJK character Nelson 2570
淡      CJK character Nelson 2602
淫      CJK character Nelson 2603
淳      CJK character Nelson 2590
清      CJK character Nelson 2605
渤      Unknown character in range CJK Unified Ideographs
港      CJK character Nelson 2582,2630
湄      Unknown character in range CJK Unified Ideographs
湖      CJK character Nelson 2628
満      CJK character Nelson 2636
满      Unknown character in range CJK Unified Ideographs
滨      Unknown character in range CJK Unified Ideographs
澜      Unknown character in range CJK Unified Ideographs
濱      CJK character Nelson 2716
炉      CJK character Nelson 2750
烈      CJK character Nelson 2761
無      CJK character Nelson 2773
然      CJK character Nelson 2770
燕      CJK character Nelson 4070
爐      CJK character Nelson 2819
爵      CJK character Nelson 2830,2831
爾      CJK character Nelson   69, 575
牛      CJK character Nelson 2852
特      CJK character Nelson 2860
狐      CJK character Nelson 2878
狗      CJK character Nelson 2875
獅      CJK character Nelson 2904
獒      Unknown character in range CJK Unified Ideographs
玛      Unknown character in range CJK Unified Ideographs
环      Unknown character in range CJK Unified Ideographs
现      Unknown character in range CJK Unified Ideographs
珍      CJK character Nelson 2933
理      CJK character Nelson 2942
琏      Unknown character in range CJK Unified Ideographs
琼      Unknown character in range CJK Unified Ideographs
璠      Unknown character in range CJK Unified Ideographs
璿      Unknown character in range CJK Unified Ideographs
瓊      Unknown character in range CJK Unified Ideographs
甘      CJK character Nelson 2988
甫      CJK character Nelson  135
番      CJK character Nelson 4811
疊      CJK character Nelson 3017
疑      CJK character Nelson  755
疲      CJK character Nelson 3040
白      CJK character Nelson 3095
盆      CJK character Nelson  594
盈      CJK character Nelson 3114
益      CJK character Nelson  597
盤      CJK character Nelson 3122
矢      CJK character Nelson 3168
短      CJK character Nelson 3172
研      CJK character Nelson 3180,3187
祖      CJK character Nelson 3243
祝      CJK character Nelson 3244
祭      CJK character Nelson 3247
秀      CJK character Nelson 3263
秦      CJK character Nelson 3274
穂      CJK character Nelson 3300
穆      Unknown character in range CJK Unified Ideographs
穌      Unknown character in range CJK Unified Ideographs
究      CJK character Nelson 3314
空      CJK character Nelson 3317
立      CJK character Nelson 3343
競      CJK character Nelson 3364
竹      CJK character Nelson 3366
竿      CJK character Nelson 3369
笔      Unknown character in range CJK Unified Ideographs
笠      CJK character Nelson 3381
筆      CJK character Nelson 3397
管      CJK character Nelson 3416
篠      CJK character Nelson 3428,3440
継      CJK character Nelson 3545
綽      CJK character Nelson 3554
緒      CJK character Nelson 3557,3570
纪      Unknown character in range CJK Unified Ideographs
绍      Unknown character in range CJK Unified Ideographs
绰      Unknown character in range CJK Unified Ideographs
置      CJK character Nelson 3644
翔      CJK character Nelson 3664
耶      CJK character Nelson 3698
肃      Unknown character in range CJK Unified Ideographs
肇      CJK character Nelson 3723
腹      CJK character Nelson 3800
芬      CJK character Nelson 3901
芹      CJK character Nelson 3899
苏      Unknown character in range CJK Unified Ideographs
苗      CJK character Nelson 3923
茉      Unknown character in range CJK Unified Ideographs
莉      Unknown character in range CJK Unified Ideographs
莊      CJK character Nelson 3943
莫      CJK character Nelson 3954
菜      CJK character Nelson 3982
華      CJK character Nelson 3955
葛      CJK character Nelson 3997
蓟      Unknown character in range CJK Unified Ideographs
蘭      CJK character Nelson 4091
街      CJK character Nelson 1626
袋      CJK character Nelson 4223
裕      CJK character Nelson 4241
製      CJK character Nelson 4249
覆      CJK character Nelson 4279
見      CJK character Nelson 4284
角      CJK character Nelson 4301
解      CJK character Nelson 4306
訓      CJK character Nelson 4317
誠      CJK character Nelson 4352,4362
謙      CJK character Nelson 4422
谊      Unknown character in range CJK Unified Ideographs
谟      Unknown character in range CJK Unified Ideographs
谥      Unknown character in range CJK Unified Ideographs
豊      CJK character Nelson 4466
豬      Unknown character in range CJK Unified Ideographs
責      CJK character Nelson 4492
贾      Unknown character in range CJK Unified Ideographs
赤      CJK character Nelson 4534
赦      CJK character Nelson 4536
赫      CJK character Nelson 4537
赵      Unknown character in range CJK Unified Ideographs
越      CJK character Nelson 4542
趙      Unknown character in range CJK Unified Ideographs
軍      CJK character Nelson  628
軽      CJK character Nelson 4620
輔      CJK character Nelson 4626
迩      Unknown character in range CJK Unified Ideographs
迪      Unknown character in range CJK Unified Ideographs
遊      CJK character Nelson 4726
邇      CJK character Nelson 4751
邵      Unknown character in range CJK Unified Ideographs
郑      Unknown character in range CJK Unified Ideographs
部      CJK character Nelson 4767
郭      CJK character Nelson 4765
醜      CJK character Nelson 4798
鈞      CJK character Nelson 4823
鈴      CJK character Nelson 4837
鎖      CJK character Nelson 4901
