	glyph   name
     14 𐤌	𐤌      PHOENICIAN LETTER MEM
     14 𐤏	𐤏      PHOENICIAN LETTER AIN
     14 𐤕	𐤕      PHOENICIAN LETTER TAU
     15 å	å      LATIN SMALL LETTER A WITH RING ABOVE
     15 ā	ā      LATIN SMALL LETTER A WITH MACRON
     15 Š	Š      LATIN CAPITAL LETTER S WITH CARON
     15 ǧ	ǧ      LATIN SMALL LETTER G WITH CARON
     15 ю	ю      CYRILLIC SMALL LETTER YU
     15 Ա	Ա      ARMENIAN CAPITAL LETTER AYB
     15 צ	צ      HEBREW LETTER TSADI
     15 ܪ	ܪ      SYRIAC LETTER RISH
     15 რ	რ      GEORGIAN LETTER RAE
     15 ἰ	ἰ      GREEK SMALL LETTER IOTA WITH PSILI
     15 字	字      CJK character Nelson 1281
     15 𐤍	𐤍      PHOENICIAN LETTER NUN
     15 𐤓	𐤓      PHOENICIAN LETTER ROSH
     16 °	°      DEGREE SIGN
     16 À	À      LATIN CAPITAL LETTER A WITH GRAVE
     16 ł	ł      LATIN SMALL LETTER L WITH STROKE
     16 ȟ	ȟ      LATIN SMALL LETTER H WITH CARON
     16 ɣ	ɣ      LATIN SMALL LETTER GAMMA
     16 Τ	Τ      GREEK CAPITAL LETTER TAU
     16 Я	Я      CYRILLIC CAPITAL LETTER YA
     16 ט	ט      HEBREW LETTER TET
     16 غ	غ      ARABIC LETTER GHAIN
     16 ा	ा      DEVANAGARI VOWEL SIGN AA
     16 ὐ	ὐ      GREEK SMALL LETTER UPSILON WITH PSILI
     17 ɑ	ɑ      LATIN SMALL LETTER ALPHA
     17 ʁ	ʁ      LATIN LETTER SMALL CAPITAL INVERTED R
     17 Ρ	Ρ      GREEK CAPITAL LETTER RHO
     17 ლ	ლ      GEORGIAN LETTER LAS
     17 ⴰ	ⴰ      TIFINAGH LETTER YA
     18 Þ	Þ      LATIN CAPITAL LETTER THORN
     18 ø	ø      LATIN SMALL LETTER O WITH STROKE
     18 Ο	Ο      GREEK CAPITAL LETTER OMICRON
     18 Φ	Φ      GREEK CAPITAL LETTER PHI
     18 ъ	ъ      CYRILLIC SMALL LETTER HARD SIGN
     18 ῆ	ῆ      GREEK SMALL LETTER ETA WITH PERISPOMENI
     18 →	→      RIGHTWARDS ARROW
     19 Հ	Հ      ARMENIAN CAPITAL LETTER HO
     20 ½	½      VULGAR FRACTION ONE HALF
     20 ò	ò      LATIN SMALL LETTER O WITH GRAVE
     20 ː	ː      MODIFIER LETTER TRIANGULAR COLON
     20 щ	щ      CYRILLIC SMALL LETTER SHCHA
     21 ß	ß      LATIN SMALL LETTER SHARP S
     21 Ч	Ч      CYRILLIC CAPITAL LETTER CHE
     21 մ	մ      ARMENIAN SMALL LETTER MEN
     21 ى	ى      ARABIC LETTER ALEF MAKSURA
     22 æ	æ      LATIN SMALL LETTER AE
     22 ე	ე      GEORGIAN LETTER EN
     22 ს	ს      GEORGIAN LETTER SAN
     23 ²	²      SUPERSCRIPT TWO
     23 ց	ց      ARMENIAN SMALL LETTER CO
     23 ג	ג      HEBREW LETTER GIMEL
     23 ک	ک      ARABIC LETTER KEHEH
     23 ܝ	ܝ      SYRIAC LETTER YUDH
     24 ʔ	ʔ      LATIN LETTER GLOTTAL STOP
     24 ս	ս      ARMENIAN SMALL LETTER SEH
     24 פ	פ      HEBREW LETTER PE
     25 э	э      CYRILLIC SMALL LETTER E
     26 ἀ	ἀ      GREEK SMALL LETTER ALPHA WITH PSILI
     27 Δ	Δ      GREEK CAPITAL LETTER DELTA
     27 ώ	ώ      GREEK SMALL LETTER OMEGA WITH TONOS
     27 Ф	Ф      CYRILLIC CAPITAL LETTER EF
     27 ղ	ղ      ARMENIAN SMALL LETTER GHAD
     27 ז	ז      HEBREW LETTER ZAYIN
     27 ܐ	ܐ      SYRIAC LETTER ALAPH
     28 ǝ	ǝ      LATIN SMALL LETTER TURNED E
     28 Ι	Ι      GREEK CAPITAL LETTER IOTA
     28 տ	տ      ARMENIAN SMALL LETTER TIWN
     29 Β	Β      GREEK CAPITAL LETTER BETA
     29 ξ	ξ      GREEK SMALL LETTER XI
     29 أ	أ      ARABIC LETTER ALEF WITH HAMZA ABOVE
     30 ɔ	ɔ      LATIN SMALL LETTER OPEN O
     30 ɪ	ɪ      LATIN LETTER SMALL CAPITAL I
     30 ʧ	ʧ      LATIN SMALL LETTER TESH DIGRAPH
     30 յ	յ      ARMENIAN SMALL LETTER YI
     30 ῖ	ῖ      GREEK SMALL LETTER IOTA WITH PERISPOMENI
     31 č	č      LATIN SMALL LETTER C WITH CARON
     31 š	š      LATIN SMALL LETTER S WITH CARON
     31 կ	կ      ARMENIAN SMALL LETTER KEN
     31 ք	ք      ARMENIAN SMALL LETTER KEH
     31 خ	خ      ARABIC LETTER KHAH
     32 բ	բ      ARMENIAN SMALL LETTER BEN
     32 ص	ص      ARABIC LETTER SAD
     32 ა	ა      GEORGIAN LETTER AN
     33 Đ	Đ      LATIN CAPITAL LETTER D WITH STROKE
     33 ʤ	ʤ      LATIN SMALL LETTER DEZH DIGRAPH
     34 Ἀ	Ἀ      GREEK CAPITAL LETTER ALPHA WITH PSILI
     35 З	З      CYRILLIC CAPITAL LETTER ZE
     35 ش	ش      ARABIC LETTER SHEEN
     36 ё	ё      CYRILLIC SMALL LETTER IO
     36 Ս	Ս      ARMENIAN CAPITAL LETTER SEH
     36 כ	כ      HEBREW LETTER KAF
     37 ი	ი      GEORGIAN LETTER IN
     38 ð	ð      LATIN SMALL LETTER ETH
     39 ¹	¹      SUPERSCRIPT ONE
     39 Е	Е      CYRILLIC CAPITAL LETTER IE
     39 ס	ס      HEBREW LETTER SAMEKH
     40 վ	վ      ARMENIAN SMALL LETTER VEW
     40 ן	ן      HEBREW LETTER FINAL NUN
     40 ‬	‬      POP DIRECTIONAL FORMATTING
     41 ˈ	ˈ      MODIFIER LETTER VERTICAL LINE
     41 ח	ח      HEBREW LETTER HET
     42 ك	ك      ARABIC LETTER KAF
     43 Σ	Σ      GREEK CAPITAL LETTER SIGMA
     43 ط	ط      ARABIC LETTER TAH
     43 ی	ی      ARABIC LETTER FARSI YEH
     44 ز	ز      ARABIC LETTER ZAIN
     45 ɛ	ɛ      LATIN SMALL LETTER OPEN E
     45 ւ	ւ      ARMENIAN SMALL LETTER YIWN
     46 £	£      POUND SIGN
     46 О	О      CYRILLIC CAPITAL LETTER O
     46 ק	ק      HEBREW LETTER QOF
     47 ƒ	ƒ      LATIN SMALL LETTER F WITH HOOK
     48 ʃ	ʃ      LATIN SMALL LETTER ESH
     48 Α	Α      GREEK CAPITAL LETTER ALPHA
     49 ɡ	ɡ      LATIN SMALL LETTER SCRIPT G
     50 |	|      VERTICAL LINE
     50 ه	ه      ARABIC LETTER HEH
     51 $	$      DOLLAR SIGN
     51 á	á      LATIN SMALL LETTER A WITH ACUTE
     51 Л	Л      CYRILLIC CAPITAL LETTER EL
     52 í	í      LATIN SMALL LETTER I WITH ACUTE
     52 Ε	Ε      GREEK CAPITAL LETTER EPSILON
     56 Κ	Κ      GREEK CAPITAL LETTER KAPPA
     56 Μ	Μ      GREEK CAPITAL LETTER MU
     57 ф	ф      CYRILLIC SMALL LETTER EF
     58 У	У      CYRILLIC CAPITAL LETTER U
     58 ت	ت      ARABIC LETTER TEH
     59 ד	ד      HEBREW LETTER DALET
     59 ם	ם      HEBREW LETTER FINAL MEM
     60 β	β      GREEK SMALL LETTER BETA
     60 ف	ف      ARABIC LETTER FEH
     62 ŋ	ŋ      LATIN SMALL LETTER ENG
     62 Х	Х      CYRILLIC CAPITAL LETTER HA
     63 ə	ə      LATIN SMALL LETTER SCHWA
     63 Π	Π      GREEK CAPITAL LETTER PI
     66 Ц	Ц      CYRILLIC CAPITAL LETTER TSE
     67 נ	נ      HEBREW LETTER NUN
     68 ق	ق      ARABIC LETTER QAF
     70 <	<      LESS-THAN SIGN
     70 ح	ح      ARABIC LETTER HAH
     71 Д	Д      CYRILLIC CAPITAL LETTER DE
     73 ע	ע      HEBREW LETTER AYIN
     74 ύ	ύ      GREEK SMALL LETTER UPSILON WITH TONOS
     74 ш	ш      CYRILLIC SMALL LETTER SHA
     76 ի	ի      ARMENIAN SMALL LETTER INI
     78 ե	ե      ARMENIAN SMALL LETTER ECH
     79 Г	Г      CYRILLIC CAPITAL LETTER GHE
     80 ɹ	ɹ      LATIN SMALL LETTER TURNED R
     80 ո	ո      ARMENIAN SMALL LETTER VO
     80 ج	ج      ARABIC LETTER JEEM
     81 χ	χ      GREEK SMALL LETTER CHI
     83 ع	ع      ARABIC LETTER AIN
     89 έ	έ      GREEK SMALL LETTER EPSILON WITH TONOS
     90 ×	×      MULTIPLICATION SIGN
     91 И	И      CYRILLIC CAPITAL LETTER I
     91 і	і      CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
     92 ל	ל      HEBREW LETTER LAMED
     93 Р	Р      CYRILLIC CAPITAL LETTER ER
     94 ж	ж      CYRILLIC SMALL LETTER ZHE
     94 ր	ր      ARMENIAN SMALL LETTER REH
     97 Т	Т      CYRILLIC CAPITAL LETTER TE
     98 ~	~      TILDE
     99 ն	ն      ARMENIAN SMALL LETTER NOW
     99 מ	מ      HEBREW LETTER MEM
    100 φ	φ      GREEK SMALL LETTER PHI
    100 ב	ב      HEBREW LETTER BET
    101 θ	θ      GREEK SMALL LETTER THETA
    101 Н	Н      CYRILLIC CAPITAL LETTER EN
    101 ש	ש      HEBREW LETTER SHIN
    104 ת	ת      HEBREW LETTER TAV
    107 א	א      HEBREW LETTER ALEF
    110 ή	ή      GREEK SMALL LETTER ETA WITH TONOS
    111 ة	ة      ARABIC LETTER TEH MARBUTA
    114 €	€      EURO SIGN
    124 ω	ω      GREEK SMALL LETTER OMEGA
    128 х	х      CYRILLIC SMALL LETTER HA
    135 δ	δ      GREEK SMALL LETTER DELTA
    137 ‎	        LEFT-TO-RIGHT MARK
    139 з	з      CYRILLIC SMALL LETTER ZE
    141 Б	Б      CYRILLIC CAPITAL LETTER BE
    142 و	و      ARABIC LETTER WAW
    145 ά	ά      GREEK SMALL LETTER ALPHA WITH TONOS
    146 +	+      PLUS SIGN
    146 М	М      CYRILLIC CAPITAL LETTER EM
    147 ό	ό      GREEK SMALL LETTER OMICRON WITH TONOS
    149 د	د      ARABIC LETTER DAL
    151 س	س      ARABIC LETTER SEEN
    153 ה	ה      HEBREW LETTER HE
    158 η	η      GREEK SMALL LETTER ETA
    164 А	А      CYRILLIC CAPITAL LETTER A
    169 υ	υ      GREEK SMALL LETTER UPSILON
    169 В	В      CYRILLIC CAPITAL LETTER VE
    172 ו	ו      HEBREW LETTER VAV
    175 ר	ר      HEBREW LETTER RESH
    177 م	م      ARABIC LETTER MEEM
    179 К	К      CYRILLIC CAPITAL LETTER KA
    179 ա	ա      ARMENIAN SMALL LETTER AYB
    181 μ	μ      GREEK SMALL LETTER MU
    183 γ	γ      GREEK SMALL LETTER GAMMA
    183 П	П      CYRILLIC CAPITAL LETTER PE
    188 ب	ب      ARABIC LETTER BEH
    198 ί	ί      GREEK SMALL LETTER IOTA WITH TONOS
    199 п	п      CYRILLIC SMALL LETTER PE
    202 >	>      GREATER-THAN SIGN
    202 ц	ц      CYRILLIC SMALL LETTER TSE
    203 ن	ن      ARABIC LETTER NOON
    204 π	π      GREEK SMALL LETTER PI
    221 κ	κ      GREEK SMALL LETTER KAPPA
    228 σ	σ      GREEK SMALL LETTER SIGMA
    238 ●	●      BLACK CIRCLE
    239 ر	ر      ARABIC LETTER REH
    241 ч	ч      CYRILLIC SMALL LETTER CHE
    250 С	С      CYRILLIC CAPITAL LETTER ES
    254 ي	ي      ARABIC LETTER YEH
    260 ε	ε      GREEK SMALL LETTER EPSILON
    275 ы	ы      CYRILLIC SMALL LETTER YERU
    276 י	י      HEBREW LETTER YOD
    278 у	у      CYRILLIC SMALL LETTER U
    280  	        NO-BREAK SPACE
    286 г	г      CYRILLIC SMALL LETTER GHE
    318 б	б      CYRILLIC SMALL LETTER BE
    324 ل	ل      ARABIC LETTER LAM
    339 λ	λ      GREEK SMALL LETTER LAMDA
    342 τ	τ      GREEK SMALL LETTER TAU
    363 à	à      LATIN SMALL LETTER A WITH GRAVE
    376 ρ	ρ      GREEK SMALL LETTER RHO
    379 д	д      CYRILLIC SMALL LETTER DE
    386 ι	ι      GREEK SMALL LETTER IOTA
    423 я	я      CYRILLIC SMALL LETTER YA
    439 =	=      EQUALS SIGN
    444 м	м      CYRILLIC SMALL LETTER EM
    466 ا	ا      ARABIC LETTER ALEF
    467 ν	ν      GREEK SMALL LETTER NU
    477 ς	ς      GREEK SMALL LETTER FINAL SIGMA
    497 ь	ь      CYRILLIC SMALL LETTER SOFT SIGN
    517 й	й      CYRILLIC SMALL LETTER SHORT I
    605 α	α      GREEK SMALL LETTER ALPHA
    711 ±	±      PLUS-MINUS SIGN
    712 ο	ο      GREEK SMALL LETTER OMICRON
    739 т	т      CYRILLIC SMALL LETTER TE
    833 л	л      CYRILLIC SMALL LETTER EL
   1051 в	в      CYRILLIC SMALL LETTER VE
   1110 к	к      CYRILLIC SMALL LETTER KA
   1167 н	н      CYRILLIC SMALL LETTER EN
   1346 с	с      CYRILLIC SMALL LETTER ES
   1372 е	е      CYRILLIC SMALL LETTER IE
   1446 р	р      CYRILLIC SMALL LETTER ER
   1484 и	и      CYRILLIC SMALL LETTER I
   1895 а	а      CYRILLIC SMALL LETTER A
   2195 о	о      CYRILLIC SMALL LETTER O
